"COUNTRY","PRODUCT","YEAR","ANNUAL_VALUE"
"Argentina","Coal",2015,2747.782
"Argentina","Coal",2016,2223.188
"Argentina","Coal",2017,2110.775
"Argentina","Coal",2018,2142.467773
"Argentina","Coal",2019,1184.78164
"Argentina","Coal",2020,1854.850298
"Argentina","Coal",2021,3309.960795
"Argentina","Coal",2022,2449.379586
"Argentina","Combustible renewables",2015,1120.509
"Argentina","Combustible renewables",2016,1139.279
"Argentina","Combustible renewables",2017,1303.542
"Argentina","Combustible renewables",2018,1276.393094
"Argentina","Combustible renewables",2019,1550.907881
"Argentina","Combustible renewables",2020,2128.817059
"Argentina","Combustible renewables",2021,3312.153042
"Argentina","Combustible renewables",2022,2232.912579
"Argentina","Distribution losses",2015,-1536.715
"Argentina","Distribution losses",2016,-1756.836
"Argentina","Distribution losses",2017,-1976.339
"Argentina","Distribution losses",2018,0
"Argentina","Distribution losses",2019,0
"Argentina","Distribution losses",2020,0
"Argentina","Distribution losses",2021,0
"Argentina","Electricity supplied",2015,138361.512
"Argentina","Electricity supplied",2016,139990.913
"Argentina","Electricity supplied",2017,138814.807
"Argentina","Electricity supplied",2018,139188.116903
"Argentina","Electricity supplied",2019,132462.31304
"Argentina","Electricity supplied",2020,137574.62146
"Argentina","Electricity supplied",2021,151547.505696
"Argentina","Electricity supplied",2022,139954.955711
"Argentina","Electricity trade",2015,-770.68
"Argentina","Electricity trade",2016,-818.743
"Argentina","Electricity trade",2017,-899.582
"Argentina","Electricity trade",2018,0
"Argentina","Electricity trade",2019,0
"Argentina","Electricity trade",2020,0
"Argentina","Electricity trade",2021,0
"Argentina","Final consumption",2015,139918.777
"Argentina","Final consumption",2016,141772.343
"Argentina","Final consumption",2017,141927.535
"Argentina","Final consumption",2018,140070.951548
"Argentina","Final consumption",2019,133718.802652
"Argentina","Final consumption",2020,136703.837973
"Argentina","Final consumption",2021,0
"Argentina","Fossil fuels",2015,97379.183
"Argentina","Fossil fuels",2016,100338.115
"Argentina","Fossil fuels",2017,98852.402
"Argentina","Fossil fuels",2018,98021.590264
"Argentina","Fossil fuels",2019,89968.762998
"Argentina","Fossil fuels",2020,91118.163035
"Argentina","Fossil fuels",2021,98736.033141
"Argentina","Fossil fuels",2022,89303.982052
"Argentina","Geothermal",2015,0
"Argentina","Geothermal",2016,0
"Argentina","Geothermal",2017,0
"Argentina","Geothermal",2018,0
"Argentina","Geothermal",2019,0
"Argentina","Geothermal",2020,0
"Argentina","Geothermal",2021,0
"Argentina","Hydro",2015,31843.542
"Argentina","Hydro",2016,29316.745
"Argentina","Hydro",2017,31365.202
"Argentina","Hydro",2018,31865.777588
"Argentina","Hydro",2019,27234.432719
"Argentina","Hydro",2020,23613.863132
"Argentina","Hydro",2021,24290.748118
"Argentina","Hydro",2022,23974.690533
"Argentina","Low carbon",2015,40211.65
"Argentina","Low carbon",2016,38834.052
"Argentina","Low carbon",2017,39062.828
"Argentina","Low carbon",2018,41166.526638
"Argentina","Low carbon",2019,42493.550044
"Argentina","Low carbon",2020,46456.458419
"Argentina","Low carbon",2021,52811.472557
"Argentina","Low carbon",2022,50650.973658
"Argentina","Natural gas",2015,73921.692
"Argentina","Natural gas",2016,78686.2
"Argentina","Natural gas",2017,85796.502
"Argentina","Natural gas",2018,89487.455332
"Argentina","Natural gas",2019,85543.96492
"Argentina","Natural gas",2020,82946.547519
"Argentina","Natural gas",2021,87674.639082
"Argentina","Natural gas",2022,70693.783759
"Argentina","Net electricity production",2015,137590.832
"Argentina","Net electricity production",2016,139172.17
"Argentina","Net electricity production",2017,137915.225
